Today Date,Ending Price,Beginning Price,Min Price,Max Price,Percentage
2025/04/06,77218000,77218000,79863000,80166000,3.58
2025/04/05,82461000,77026000,77105000,82461000,6.84
2025/04/03,81853000,81853000,82382000,83006000,0.69
2025/03/30,82821000,81066000,81817000,82821000,1.22
2025/03/29,81147000,81147000,82814000,83608000,2.06
2025/03/27,79951000,79951000,81142000,81507000,1.49
2025/03/26,79381000,78568000,79949000,80524000,0.71
2025/03/25,81112000,77986000,79388000,81112000,2.15
2025/03/18,76982000,76982000,81094000,81992000,5.35
2025/03/17,73771000,73771000,76978000,76982000,4.31
2025/03/16,68708000,68477000,73794000,73935000,7.39
2025/03/15,68117000,67653000,68713000,68763000,0.89
2025/03/13,67263000,67263000,68110000,68671000,1.27
2025/03/12,66658000,66639000,67258000,68253000,0.77
2025/03/11,67355000,66353000,66746000,67817000,0.89
2025/03/10,67212000,66704000,67341000,69010000,0.24
2025/03/09,68422000,64735000,67182000,69839000,1.24
2025/03/08,66159000,65409000,66358000,67129000,4.03
2025/03/06,63911000,62786000,63786000,64236000,0.2
2025/03/05,64495000,63687000,63915000,64631000,0.69
2025/03/04,63777000,63777000,64354000,65300000,0.91
2025/03/03,64640000,63338000,63774000,64952000,2.1
2025/03/02,64375000,64061000,65111000,65808000,1.17
2025/03/01,64492000,63908000,64358000,65284000,3.02
2025/02/27,67187000,66178000,66300000,67187000,1.33
2025/02/26,67334000,66785000,67184000,67655000,2.09
2025/02/25,66556000,65531000,65806000,66591000,1.16
2025/02/24,67420000,66547000,66568000,67925000,1.27
2025/02/23,67925000,66065000,67415000,68002000,0.75
2025/02/22,68509000,67471000,67923000,70093000,1.64
