ردیف,رسته,شماره جواز,مدیر واحد صنفی,تلفن 1,تلفن 2,نشانی
1,خرده فروشي سکه طلا,۱۴۰۳۹۴۳۹۰۳,حسن  سلیمی زاده,۷۷۴۱۰۱۶۴,NULL,"آدرس:  خیابان  دماوند  خیابان  بلال  حبشی
پلاک  آبی:
کد  پستی:  ۱۷۴۴۷۱۴۵۴۵"
2,خرده فروشي سکه طلا,۱۴۰۳۶۶۹۰۱۲,مریم	بحیرائی,۲۲۵۵۵۵۲۲,NULL,"آدرس:  دیباجی  جنوبی  جنب  مسجد  مهدیه
پلاک  آبی:
کد  پستی:  ۱۹۵۱۸۹۴۹۹۶"
3,خرده فروشي سکه طلا,۱۴۰۳۰۴۷۰۰۷,سالار  طهرانیان,۵۵۰۸۱۸۹۴,NULL,"آدرس:  نازی  آباد  خیابان  مدائن  پاساژ  دمیرچی
پلاک  آبی:
کد  پستی:  ۱۸۱۵۶۱۴۴۴۷"
4,خرده فروشي سکه طلا,۱۴۰۳۸۳۳۱۳۳,محمد  بهروزی,۷۷۸۱۱۳۵۵,NULL,"آدرس:  خیابان  شهید  مدنی  خیابان  لشگر  جنب  کفش  وین
پلاک  آبی:
کد  پستی:  ۱۶۴۴۶۳۶۳۴۴"
5,خرده فروشي سکه طلا,۱۴۰۳۷۶۰۱۲۳,عبدالکریم	صادقی کیوی,۸۶۰۹۰۵۳۴,NULL,"آدرس:  میدان  صنعت  خیابان  فرحزادی  نبش  خیابان  سیبمای  ایران  مجتمع  تجاری  پلاتین
پلاک  آبی:
کد  پستی:  ۱۴۶۷۶۹۸۶۴۷"
6,خرده فروشي سکه طلا,۰۴۶۶۵۹۱۴۳۱,جهانگیر  قاسم پور,۴۴۲۳۲۶۶۱,۴۴۲۶۸۴۳۶,"آدرس:  ستارخان  بین  فلکه  اول  و  دوم  صادقیه  پاساژ  ولیعصر
پلاک  آبی:
کد  پستی:  ۱۴۵۱۶۳۶۵۳۶"
7,خرده فروشي سکه طلا,۱۴۰۳۷۸۱۵۷۵,هوشیار	کریمی,۰۲۱۶۶۷۴۴۵۱۶,۴۴۲۶۸۴۳۶,"آدرس:  میدان  فردوسی  نبش  کوچه  ضرابی
پلاک  آبی:
کد  پستی:  ۱۱۳۱۹۵۵۷۱۱"
8,خرده فروشي سکه طلا,۱۴۰۳۸۱۴۰۷۶,سیدیاسین	طباطبائی کیا,۲۲۱۴۹۳۲۳,۴۴۲۶۸۴۳۶,"آدرس:  شهرک  غرب  بلوار  فرحزادی  بالاترازپل  نیایش  مجتمع  تجاری  افق
پلاک  آبی:
کد  پستی:  ۱۹۹۸۹۸۸۸۳۵"
9,خرده فروشي سکه طلا,۱۴۰۳۰۶۲۵۲۸,امید	قائدعلی,۳۳۴۳۸۲۷۰,۴۴۲۶۸۴۳۶,"آدرس:  میدان  خراسان  ابتدای  خیابان  خاوران  پاساژ  برلیان
پلاک  آبی:
کد  پستی:  ۱۷۷۱۹۱۴۱۶۹"
10,خرده فروشي سکه طلا,۱۴۰۳۹۸۱۳۱۵,ابراهیم  احمدی راد,۰۲۱۳۳۸۰۲۹۳۹,۴۴۲۶۸۴۳۶,"آدرس:  افسریه  ۲۰  متری  افسریه  بازار  بزرگ
پلاک  آبی:
کد  پستی:  ۱۷۸۴۷۷۳۹۶۹"
