Name,URL
والکس,https://www.tgju.org/crypto/exchanges/local/92143/والکس-exchange
رمزینکس,https://www.tgju.org/crypto/exchanges/local/93868/ramzinex-exchange
آرسونکس,https://www.tgju.org/crypto/exchanges/local/96822/arsonex-exchange
آکوکوین,https://www.tgju.org/crypto/exchanges/local/97022/akocoin-exchange
اتراکس,https://www.tgju.org/crypto/exchanges/local/96662/اتراکس-exchange
ارز پایا,https://www.tgju.org/crypto/exchanges/local/92148/ارز-پایا-exchange
ارز مدرن,https://www.tgju.org/crypto/exchanges/local/95381/ارزمدرن-exchange
ارزان بیت,https://www.tgju.org/crypto/exchanges/local/95172/ارزان-بیت-exchange
ارزپلاس,https://www.tgju.org/crypto/exchanges/local/96752/arzplus-exchange
ارزدکس,https://www.tgju.org/crypto/exchanges/local/97843/arzdex-exchange
ارزکت,https://www.tgju.org/crypto/exchanges/local/95410/arzket-exchange
ارزونکس,https://www.tgju.org/crypto/exchanges/local/97931/arzunex-exchange
ارزیپتو,https://www.tgju.org/crypto/exchanges/local/92172/ارزیپتو-exchange
افرا تتر,https://www.tgju.org/crypto/exchanges/local/92203/افرا-تتر-exchange
اکس اونیکس,https://www.tgju.org/crypto/exchanges/local/95408/اکس-اونیکس-exchange
اکس نوین,https://www.tgju.org/crypto/exchanges/local/92157/اکس-نوین-exchange
اکسچنج لند,https://www.tgju.org/crypto/exchanges/local/96833/exchangeland-exchange
اکسچنجر پرو,https://www.tgju.org/crypto/exchanges/local/93857/exchangerpro-exchange
اکسفور آی آر,https://www.tgju.org/crypto/exchanges/local/93865/ex4ir-exchange
اکسکوینو,https://www.tgju.org/crypto/exchanges/local/92130/اکسکوینو-exchange
اکسیر,https://www.tgju.org/crypto/exchanges/local/92131/اکسیر-exchange
اوپودکس,https://www.tgju.org/crypto/exchanges/local/97864/oppodax-exchange
اوکی اکسچنج,https://www.tgju.org/crypto/exchanges/local/96813/ok-ex-exchange
اول پرداخت,https://www.tgju.org/crypto/exchanges/local/96817/avalpardakht-exchange
ایراتکس,https://www.tgju.org/crypto/exchanges/local/97842/irautex-exchange
ایرانیکارت,https://www.tgju.org/crypto/exchanges/local/92132/ایرانیکارت-exchange
ایکس پی,https://www.tgju.org/crypto/exchanges/local/96821/xpay-exchange
باینوبیت,https://www.tgju.org/crypto/exchanges/local/97926/bynobit-exchange
بالینکس,https://www.tgju.org/crypto/exchanges/local/97925/balinex-exchange
بی بیت,https://www.tgju.org/crypto/exchanges/local/93862/bibit-exchange
بیت ارز,https://www.tgju.org/crypto/exchanges/local/97023/bitarz-exchange
بیت 24,https://www.tgju.org/crypto/exchanges/local/92155/بیت-24-exchange
بیت ایمن,https://www.tgju.org/crypto/exchanges/local/92217/بیت-ایمن-exchange
بیت برگ,https://www.tgju.org/crypto/exchanges/local/92146/بیت-برگ-exchange
بیت دات آی آر,https://www.tgju.org/crypto/exchanges/local/96779/bit-exchange
بیت گرند,https://www.tgju.org/crypto/exchanges/local/92193/بیت-گرند-exchange
بیت میت,https://www.tgju.org/crypto/exchanges/local/92200/بیت-میت-exchange
بیترافی,https://www.tgju.org/crypto/exchanges/local/95412/bitrafi-exchange
بیتستان,https://www.tgju.org/crypto/exchanges/local/92189/بیتستان-exchange
بیتکسینو,https://www.tgju.org/crypto/exchanges/local/96781/bitexino-exchange
بیتیوم,https://www.tgju.org/crypto/exchanges/local/96818/bitiom-exchange
بیت سوبیت,https://www.tgju.org/crypto/exchanges/local/96831/bitsobit-exchange
بیست بیت,https://www.tgju.org/crypto/exchanges/local/96812/bistbit-exchange
پارس بیت,https://www.tgju.org/crypto/exchanges/local/92145/پارس-بیت-exchange
پول نو,https://www.tgju.org/crypto/exchanges/local/92212/پول-نو-exchange
پینگی,https://www.tgju.org/crypto/exchanges/local/93866/pingi-exchange
تبدیل,https://www.tgju.org/crypto/exchanges/local/92158/تبدیل-exchange
تتر ایران,https://www.tgju.org/crypto/exchanges/local/92156/تتر-ایران-exchange
تترلند,https://www.tgju.org/crypto/exchanges/local/95382/تترلند-exchange
توایکس,https://www.tgju.org/crypto/exchanges/local/96819/twox-exchange
تیبوبیت,https://www.tgju.org/crypto/exchanges/local/96827/tibobit-exchange
جهان ارز,https://www.tgju.org/crypto/exchanges/local/96782/jahanarz-exchange
جیبیتکس,https://www.tgju.org/crypto/exchanges/local/92134/جیبیتکس-exchange
چنج کن,https://www.tgju.org/crypto/exchanges/local/93854/changekon-exchange
حامی پرداخت,https://www.tgju.org/crypto/exchanges/local/96823/hamipardakht-exchange
دبلیو ام فا,https://www.tgju.org/crypto/exchanges/local/97921/paywm-exchange
رابکس,https://www.tgju.org/crypto/exchanges/local/96683/rabex-exchange
رابین کش,https://www.tgju.org/crypto/exchanges/local/93797/rabincash-exchange
رادین,https://www.tgju.org/crypto/exchanges/local/93860/radin-exchange
راستین,https://www.tgju.org/crypto/exchanges/local/95353/راستین-exchange
ربیتال,https://www.tgju.org/crypto/exchanges/local/96826/rebital-exchange
رکسوبیت,https://www.tgju.org/crypto/exchanges/local/96682/rexobit-exchange
رمز پلاس,https://www.tgju.org/crypto/exchanges/local/96784/ramzplus-exchange
ریون اکس,https://www.tgju.org/crypto/exchanges/local/97930/rionexc-exchange
زرین دکس,https://www.tgju.org/crypto/exchanges/local/96691/zarindax-exchange
سالاریکس,https://www.tgju.org/crypto/exchanges/local/97024/salariex-exchange
ساناکش,https://www.tgju.org/crypto/exchanges/local/96705/sanacash-exchange
سرمایکس,https://www.tgju.org/crypto/exchanges/local/95168/sarmayex-exchange
سلام کریپتو,https://www.tgju.org/crypto/exchanges/local/92177/سلام-کریپتو-exchange
سیناتتر,https://www.tgju.org/crypto/exchanges/local/96786/sinatether-exchange
صرافکس,https://www.tgju.org/crypto/exchanges/local/96702/sarrafex-exchange
صرافی,https://www.tgju.org/crypto/exchanges/local/92136/صرافی-exchange
علی بابا,https://www.tgju.org/crypto/exchanges/local/96704/alibabaexchange-exchange
فراچنج,https://www.tgju.org/crypto/exchanges/local/97029/farachange-exchange
فراسواپ,https://www.tgju.org/crypto/exchanges/local/97036/faraswap-exchange
فرهاد اکسچنج,https://www.tgju.org/crypto/exchanges/local/95407/farhad-exchange-exchange
کافه ارز,https://www.tgju.org/crypto/exchanges/local/93856/cafearz-exchange
کریپتین,https://www.tgju.org/crypto/exchanges/local/97919/crypteian-exchange
کوین باکس مارکت,https://www.tgju.org/crypto/exchanges/local/97928/coinboxmarket-exchange
کوین کده,https://www.tgju.org/crypto/exchanges/local/95424/coinkade-exchange
کوین نیک مارکت,https://www.tgju.org/crypto/exchanges/local/92160/کوین-نیک-exchange
کوینینو,https://www.tgju.org/crypto/exchanges/local/95423/coininno-exchange
کیف پول,https://www.tgju.org/crypto/exchanges/local/95427/kifpool-exchange
کیوسک,https://www.tgju.org/crypto/exchanges/local/96666/kioosk-exchange
گرین موج,https://www.tgju.org/crypto/exchanges/local/97030/greenmouj-exchange
گیوکس,https://www.tgju.org/crypto/exchanges/local/97927/geevex-exchange
لیدیا,https://www.tgju.org/crypto/exchanges/local/97028/lydiaex-exchange
مهران بیت,https://www.tgju.org/crypto/exchanges/local/96790/mehranbit-exchange
موربیت,https://www.tgju.org/crypto/exchanges/local/95176/موربیت-exchange
نیپوتو,https://www.tgju.org/crypto/exchanges/local/96830/nipoto-exchange
هلواکس,https://www.tgju.org/crypto/exchanges/local/95430/huluex-exchange
همتا پی,https://www.tgju.org/crypto/exchanges/local/92194/همتا-پی-exchange
هیتوبیت,https://www.tgju.org/crypto/exchanges/local/96789/hitobit-exchange
وانفینکس,https://www.tgju.org/crypto/exchanges/local/96795/onefinex-exchange
وب ارز 24,https://www.tgju.org/crypto/exchanges/local/97027/webarz24-exchange
ویترین کارت,https://www.tgju.org/crypto/exchanges/local/96834/vitrincard-exchange
ورسلند,https://www.tgju.org/crypto/exchanges/local/96699/versland-exchange
ویرا,https://www.tgju.org/crypto/exchanges/local/96791/viraexchange-exchange
یوبیتکس,https://www.tgju.org/crypto/exchanges/local/92151/یوبیتکس-exchange
